columna,tipo,descripcion,ciclos
ADAPTIVITY,double,Adaptación de la instrucción percibida (WLE 2018).,2018
ADDSCIIN,double,Número de materias de ciencias con instrucción adicional (2015).,2015
ADINST,double,Adaptación de la enseñanza (WLE 2015).,2015
AGE,double,"Edad del estudiante en años. Años con valores integrados: 2000, 2003, 2006, 2009, 2012, 2015, 2018, 2022, 2025. Ausencia puede ser falta de medición o de correspondencia validada; no equivale a cero.","2000,2003,2006,2012,2015,2018,2022,2025"
ANXMAT,double,"Índice original: misma denominación no garantiza equivalencia de escala entre ciclos. OCDE 2022: Mathematics Anxiety (WLE). Años con valores integrados: 2003, 2012, 2022. Ausencia puede ser falta de medición o de correspondencia validada; no equivale a cero.","2003,2012,2022"
ANXTEST,double,Ansiedad ante los exámenes (WLE 2015).,2015
ASSERAGR,double,Asertividad (WLE 2022).,2022
ATTIMM,double,Actitud del alumnado hacia los inmigrantes (WLE 2018).,2018
ATTLNACT,double,Actitud hacia las actividades de aprendizaje (WLE 2012/2018).,2018
BELONG,double,"Índice WLE de pertenencia al centro; comprobar comparabilidad de escala entre ciclos. Años con valores integrados: 2000, 2003, 2012, 2015, 2018, 2022, 2025. Ausencia puede ser falta de medición o de correspondencia validada; no equivale a cero.","2000,2003,2012,2015,2018,2022,2025"
BODYIMA,double,Imagen corporal (WLE 2018/2022).,"2018,2022"
BSMJ,double,"Índice original: misma denominación no garantiza equivalencia de escala entre ciclos. OCDE 2022: Expected occupation status (free response)- 4 digits. OCDE 2025: Expected occupation status (ISEI). Años con valores integrados: 2006, 2015, 2018, 2022, 2025. Ausencia puede ser falta de medición o de correspondencia validada; no equivale a cero.","2003,2006,2015,2018,2022,2025"
CNTSCHID,int64,ID del centro (único dentro de país y ciclo).,"2000,2003,2006,2012,2015,2018,2022,2025"
CNTSTUID,int64,ID del alumno (único dentro de país y ciclo).,"2000,2003,2006,2012,2015,2018,2022,2025"
COGACMCO,double,Activación cognitiva en mates: fomentar el pensamiento (WLE 2022).,2022
COGACRCO,double,Activación cognitiva en mates: fomentar el razonamiento (WLE 2022).,2022
COGACSC,double,Activación cognitiva en ciencias (WLE 2025).,2025
COGFLEX,double,Flexibilidad/adaptabilidad cognitiva (WLE 2018).,2018
COLLENEFF,double,Eficacia colectiva ambiental (WLE 2025).,2025
COMPETE,double,Competitividad (WLE 2018).,2018
COOPAGR,double,Cooperación (WLE 2022).,2022
COOPERATE,double,Disposición a la colaboración: disfrutar cooperando (WLE 2015).,2015
CPSVALUE,double,Disposición a la colaboración: valorar la cooperación (WLE 2015).,2015
CREATAS,double,Actividades creativas en el centro (WLE 2022).,2022
CREATEFF,double,Autoeficacia creativa (WLE 2022).,2022
CREATFAM,double,Entorno creativo de iguales y familia (WLE 2022).,2022
CREATOOS,double,Actividades creativas fuera del centro (WLE 2022).,2022
CREATSCH,double,Entorno escolar y de aula creativo (WLE 2022).,2022
CULTPOSS,double,"Posesiones culturales del hogar (WLE): libros, arte, instrumentos. Proxy del capital cultural familiar.","2015,2018"
CURIOAGR,double,Curiosidad (WLE 2022).,2022
CURSUPP,double,"Apoyo parental actual al aprendizaje en casa (WLE, PAQ 2015).","2015,2018,2022"
DIRINS,double,Instrucción dirigida por el profesor (WLE 2018).,2018
DISCLIM,double,Clima disciplinario en matemáticas (WLE 2022; también existe con datos en 2003). No comparar con DISCLIMA.,2022
DISCLIMA,double,"Clima disciplinario (WLE 2000/2009/2012/2018; la materia de referencia varía por ciclo: general 2000, lengua 2009/2018, mates 2012).",2018
DISCRIM,double,Clima discriminatorio en el centro (WLE 2018).,2018
DURECEC,string,Duración de la educación infantil previa (ECEC) antes de primaria (2015/2018/2022).,"2015,2018,2022"
EFFORT1,double,"Esfuerzo declarado en la prueba PISA, 1-10 (2018/2022/2025). Técnica: interpretar caídas de rendimiento.","2018,2022,2025"
EMOCOAGR,double,Control emocional (WLE 2022).,2022
EMOSUPS,double,"Apoyo emocional de los padres percibido por el alumno (WLE, 2015/2018).","2015,2018"
EMPATAGR,double,Empatía (WLE 2022).,2022
ENGSCIPR,double,Implicación del alumnado en prácticas científicas (WLE 2025).,2025
ENVAPART,double,Participación en actividades ambientales (WLE 2025).,2025
ENVAWARE,double,Conciencia ambiental (WLE 2006/2015/2025; comparabilidad limitada entre ciclos).,"2015,2025"
ENVCAPCH,double,Creencia en la propia capacidad de generar cambio ambiental (WLE 2025).,2025
ENVOPT,double,Optimismo ambiental (WLE 2006/2015).,2015
EPIST,double,Creencias epistemológicas sobre la ciencia (WLE 2015).,2015
ESCS,double,"Índice de estatus económico, social y cultural. No es renta monetaria. Revisar la comparabilidad entre ciclos antes de interpretar diferencias absolutas. Años con valores integrados: 2003, 2006, 2009, 2012, 2015, 2018, 2022, 2025. Ausencia puede ser falta de medición o de correspondencia validada; no equivale a cero.","2000,2003,2006,2012,2015,2018,2022,2025"
EUDMO,double,"Sentido y propósito en la vida (eudaimonía, WLE 2018).",2018
EXPECEDU,string,Nivel educativo máximo que el alumno espera completar (2022/2025).,"2022,2025"
EXPO21ST,double,Exposición a tareas de razonamiento matemático y s. XXI (WLE 2022).,2022
EXPOFA,double,Exposición a tareas de mates formales y aplicadas (WLE 2022).,2022
EXPWB,double,Bienestar experimentado el día anterior (WLE 2022). Cobertura parcial (submuestra).,2022
FCFMLRTY,double,"Familiaridad con conceptos financieros (nº de conceptos aprendidos, 2018/2022).","2018,2022"
FLCONFIN,double,Confianza en asuntos financieros (WLE 2018/2022).,"2018,2022"
FLCONICT,double,Confianza financiera con dispositivos digitales (WLE 2018/2022).,"2018,2022"
FLFAMILY,double,Implicación parental en temas financieros (WLE 2018/2022).,"2018,2022"
FLSCHOOL,double,Educación financiera recibida en el centro (WLE 2018/2022).,"2018,2022"
GCAWARE,double,Conciencia de temas globales (WLE 2018).,2018
GCSELFEFF,double,Autoeficacia ante temas globales (WLE 2018).,2018
GFOFAIL,double,"Miedo general al fracaso (WLE 2018). Ojo: es el indicador de mentalidad de crecimiento de 2018, no comparable con GROSAGR de 2022.",2018
GLOBMIND,double,Mentalidad global (WLE 2018).,2018
GRADE,double,"Curso del estudiante respecto al curso modal nacional; no es una nota académica. Años con valores integrados: 2003, 2009, 2012, 2015, 2018, 2022, 2025. Ausencia puede ser falta de medición o de correspondencia validada; no equivale a cero.","2003,2012,2015,2018,2022,2025"
GROSAGR,double,Mentalidad de crecimiento (WLE 2022).,2022
HADDINST,double,Horas totales de instrucción adicional (refuerzo) por semana (2015).,2015
HEDRES,double,"Recursos educativos del hogar (WLE): escritorio, lugar tranquilo de estudio, libros de texto, diccionarios.","2015,2018"
HISEI,double,"Mayor estatus ocupacional parental en la escala ISEI. No equivale al salario familiar. Años con valores integrados: 2000, 2003, 2006, 2009, 2012, 2015, 2018, 2022, 2025. Ausencia puede ser falta de medición o de correspondencia validada; no equivale a cero.","2000,2003,2006,2012,2015,2018,2022,2025"
HOMEPOS,double,"Índice WLE de posesiones del hogar; revisar definición y comparabilidad por ciclo. Años con valores integrados: 2003, 2006, 2009, 2012, 2015, 2018, 2022, 2025. Ausencia puede ser falta de medición o de correspondencia validada; no equivale a cero.","2003,2006,2012,2015,2018,2022,2025"
HOMESCH,double,Uso de TIC fuera del centro para tareas escolares (WLE 2015/2018).,"2015,2018"
IBTEACH,double,Enseñanza de ciencias por indagación (WLE 2015).,2015
ICTRES,double,"Índice original: misma denominación no garantiza equivalencia de escala entre ciclos. OCDE 2022: ICT Resources (WLE). OCDE 2025: ICT resources (WLE). Años con valores integrados: 2009, 2015, 2018, 2025. Ausencia puede ser falta de medición o de correspondencia validada; no equivale a cero.","2015,2018,2022,2025"
INFOCAR,double,Búsqueda de información sobre carreras futuras (WLE 2018).,2018
INSTSCIE,double,Motivación instrumental por la ciencia (WLE 2006/2015).,2015
INTBRSCI,double,Interés por temas amplios de ciencia (WLE 2015).,2015
INTCULT,double,Interés por otras culturas (WLE 2018).,2018
JOYREAD,double,Gusto por la lectura (WLE 2000/2009/2018).,2018
LEARRES,double,Recursos de aprendizaje usados con el centro cerrado (WLE 2022; submuestra).,2022
LIFESAT,double,Satisfacción con la vida por dominios (WLE 2022).,2022
LMINS,double,Minutos semanales de clase de lengua (2009-2018).,"2015,2018"
MASTGOAL,double,Orientación a metas de maestría (WLE 2018).,2018
MATHEASE,string,Percepción de las mates como más fáciles que otras materias (2022).,2022
MATHEF21,double,Autoeficacia en mates: razonamiento y habilidades s. XXI (WLE 2022).,2022
MATHEFF,double,Autoeficacia en matemáticas (WLE 2003/2012/2022; opciones de respuesta invertidas en 2022).,2022
MATHMOT,string,Motivación comparada hacia las matemáticas (2022).,2022
MATHPERS,double,Esfuerzo y persistencia en matemáticas (WLE 2022).,2022
METASPAM,double,Metacognición: evaluar credibilidad de fuentes (2018).,2018
METASUM,double,Metacognición lectora: resumir (2009/2018).,2018
MISSSC,string,Haber faltado al colegio más de 3 meses alguna vez (2022; sin datos para España: la columna solo contiene códigos de falta).,2022
MMINS,double,Minutos semanales de clase de matemáticas (2000-2018).,"2015,2018"
MOTIVAT,double,Motivación de logro (WLE 2015).,2015
